,Seller,FeedBack_Rating,Courier_Rating,Product_Rating,Packaging_Rating,ALL_OVER
2136,ROLLTOP,2.4902255639097746,4.141428571428571,3.6770676691729296,3.967105263157892,3.128314847472623
2137,RONNY SPORTS,3.4,4.437499999999999,3.8249999999999997,3.6125000000000003,3.4669868035396982
2138,ROOT OF PUSHKAR RECORDS,3.75,4.7299999999999995,4.25,4.0,4.003608546834339
2139,ROSSMANN,2.2857142857142856,4.6571428571428575,4.6000000000000005,4.6571428571428575,3.87086487877329
2140,ROYALS AUTO SALES,3.333333333333333,4.266666666666667,3.8666666666666663,3.6,3.3772580402469945
2141,ROYALTRADERS,2.0,4.131111111111111,3.6866666666666665,2.8433333333333333,2.5344742554542545
2142,ROYAL_SHOPPERS,4.8,4.8,3.44,4.12,4.149140129549993
2143,RPATEL®,2.824074074074074,4.395061728395061,4.042283950617283,4.2165123456790115,3.568779799744963
2144,RPM Enterprises,2.966666666666667,4.098333333333333,3.739999999999999,3.9977777777777765,3.2948153930114437
2145,RPM store,3.5541666666666663,4.476249999999999,3.97125,3.7627083333333333,3.64098179186288
2146,RR Creations,3.333333333333333,4.621428571428572,4.250000000000001,3.791666666666667,3.739897700464371
2147,RR's,3.2857142857142856,4.242857142857143,3.8714285714285714,3.5785714285714287,3.3444661213443054
2148,RREnterprise,2.761904761904762,4.542857142857143,4.285714285714285,4.157142857142857,3.67393359811595
2149,RRSellZ,3.4,4.38,4.279999999999999,3.84,3.680709232170582
2150,RS SHOPPING,2.1794871794871793,3.9294871794871793,3.6064102564102565,3.4621794871794878,2.7135348340989545
2151,RS wholesalers,3.349206349206349,4.588392857142857,4.169642857142857,3.7594246031746033,3.690767850937452
2152,RSFurnishing,4.020833333333333,4.597222222222222,3.8618055555555553,3.9413194444444444,3.878382521682072
2153,RUDRA COMPUTER AGENCY,2.8260162601626018,4.365121951219512,4.048048780487805,4.076056910569106,3.503428216858225
2154,RUDRA CREATIONS INDIA,3.2028985507246372,4.321014492753624,3.8862318840579717,3.9619565217391313,3.5065004938584403
2155,RUSHI ENTERPRISE,2.2857142857142856,4.1000000000000005,3.9166666666666665,3.1011904761904767,2.7887017660234674
2156,RUSTAM HANDICRAFTS,3.142857142857143,4.292857142857143,3.596428571428571,3.369642857142857,3.1486384784682064
2157,RXSHOPY,2.6666666666666665,4.3999999999999995,4.3999999999999995,4.3999999999999995,3.7107022824628677
2158,RaJ,4.0476190476190474,4.530952380952381,3.6555555555555554,3.8515873015873012,3.753484049802716
2159,Radhasoami Enterprises,3.6153846153846154,4.630769230769231,3.7999999999999994,4.584615384615384,3.991508820510176
2160,Radhey Techno Service,2.466666666666667,4.206666666666665,3.7108333333333325,3.8620833333333326,3.12091138333204
2161,Radium Box,2.4,3.94,3.8999999999999995,3.94,3.0719596132601383
2162,Raheem Enterprises,3.75,4.35,3.600000000000001,4.35,3.7501740579050544
2163,Rahul Cycle Store's,3.3214285714285716,4.421428571428572,3.538095238095238,3.4297619047619046,3.268068935916054
2164,Rahul_Traders,3.1666666666666665,4.52,3.9200000000000004,3.5433333333333334,3.4342579611799353
2165,Raincart,3.1666666666666674,4.451587301587301,3.927777777777777,3.5472222222222225,3.4073775892635862
2166,Raj Cycles Ldh,3.183333333333333,4.256666666666667,4.023333333333334,3.603333333333333,3.3780474452916214
2167,Raj Rajeshwari computer,1.25,4.404999999999999,4.325,2.7875,2.608678601309927
2168,"Rajasthan Handloom , Bahadurgarh",4.333333333333333,4.558333333333334,3.966666666666667,4.15,4.076939152166947
2169,Rajib Electronics,2.25,3.65,3.1999999999999997,3.65,2.5467732813905024
2170,Rajmobile Jamner,1.3333333333333333,3.9,3.9,3.9,2.695472503678287
2171,Rama's Shop Packers,3.7921568627450983,4.375490196078432,3.6613725490196076,3.726764705882353,3.5546115726632395
2172,Raman GoSain,1.5,4.55,4.3999999999999995,4.55,3.4616142425206493
2173,Ramenterprise,3.6,4.24,3.94,3.7699999999999996,3.541135587785974
2174,Ramilton India,3.485897435897436,4.3406153846153845,3.667538461538463,4.180564102564102,3.6179947215749535
2175,Rana Trader,3.5666666666666664,4.471666666666667,4.071666666666666,3.8191666666666664,3.6982567792972127
2176,Rank1infoTech,2.5172413793103448,4.000000000000001,3.2689655172413805,4.000000000000001,2.949582727095092
2177,Rapid Mart,3.59837962962963,4.550810185185185,4.1662037037037045,4.3961805555555555,3.999059454274325
2178,RapidWorld,1.8336996336996334,4.058937728937729,3.8605860805860805,3.781208791208789,2.8691907156036733
2179,Rapidora.,3.4340277777777772,4.403124999999999,3.7572916666666667,3.8789930555555556,3.542883238013972
2180,Rastogi Bag House,3.5,4.195,3.875,3.6875,3.435015835930383
