,Seller,Product,FeedBack_Rating,Courier_Rating,Product_Rating,Packaging_Rating,ALL_OVER
4725,H.R Enterprises,"Quick Heal Antivirus Pro Latest Version - 2 PCs, 1 Year (DVD)",2.9523809523809526,4.442857142857143,4.061904761904762,4.030952380952381,3.5536809229093267
4726,H.R Enterprises,SanDisk Cruzer Blade SDCZ50-32G 32GB Pen Drive (Pack of 2),3.5,4.55,4.1000000000000005,4.55,3.992701608439035
4727,HAPPY DEALS4U,Portronics CLAMP X POR-926 Car-Vent Mobile Holder (Black),2.2857142857142856,3.914285714285714,3.6142857142857143,2.9499999999999997,2.5308719279235117
4728,HARE KRISHANA ENTERPRISES,Philips Dhoom MMS2580B/94 Home Theater System (Blue),0.8,3.8,3.8,3.8,2.3966259903509215
4729,HARI HARA ENTERPRISES,"AVM CRB-011 Cricket Bat, Size 5 (Blue)",2.0,4.275,4.075,3.0375,2.7896980904404685
4730,HARI HARA ENTERPRISES,GM Sting Kashmir Willow Cricket Bat Short Handle Mens,3.25,4.0,3.45,3.35,2.9796385510455954
4731,HARI RETAILER'S,Brother DCP-L2541DW Multi-Function Wireless Monochrome Laser Printer with Network & Auto Duplex Printing,3.5799999999999996,4.525,3.9860000000000007,4.388,3.905712228212029
4732,HARI RETAILER'S,Brother DCP-T710W Inktank Refill System Printer with Wireless and Automatic Document Feeder Printing,2.9565217391304346,4.6347826086956525,4.317391304347826,4.358695652173913,3.8546571947313355
4733,HARI RETAILER'S,Maharaja Whiteline Turbomix 350-Watt Hand Blender,2.1666666666666665,3.8333333333333335,3.5,3.8333333333333335,2.7624929604644084
4734,HARI TRADERS.,Cruze ABS 55 cms Black Hardsided Carry-On (AN6 (0) 09 001),3.1999999999999997,4.4799999999999995,3.6799999999999997,3.44,3.291099481963453
4735,HARI TRADERS.,Jamaica Polyester 69 cms Wine Red Softsided Suitcase (27O (0) 70 002),2.4,3.8233333333333337,3.64,3.02,2.562716250610961
4736,HARI TRADERS.,Michigan Polyester 79 cms Magenta Suitcase (AMT Michigan SP79CM TSA MAGNTA),0.3333333333333333,3.9,3.9,2.1166666666666667,1.6687504645084694
4737,HARI TRADERS.,Polycarbonate 55 cm Gun Metal Softsided Cabin Luggage (38W (0) 58 001),3.666666666666667,4.478571428571429,3.9499999999999997,3.808333333333333,3.674559218591183
4738,HARI TRADERS.,Troy Polyester 79 cms Chocolate Brown Softsided Suitcase (AMT Troy SP79 Choc Brown),3.4,4.53,3.98,3.69,3.57594540992553
4739,HARI TRADERS.,Z-strike Polyester 56 cms Chocolate Brown Softsided Cabin Luggage (AMT Z-STRIKE SP56CM CHO...,3.166666666666667,4.147619047619047,3.6333333333333333,3.3999999999999995,3.100128320836543
4740,HARIOM ( SMT™ ),"Funskool Giggles Stacking Cubes, Multi Color",3.8000000000000003,4.3566666666666665,3.84,3.8200000000000003,3.6303200632963555
4741,HARIOM COMMUNICATION LLP,All-new Echo Dot (3rd Gen) - Smart speaker with Alexa (Grey),4.275362318840579,4.731884057971015,3.743478260869565,4.539855072463768,4.199433648777699
4742,HARIOM COMMUNICATION LLP,All-new Echo Dot (3rd Gen) - Smart speaker with Alexa (White),3.4166666666666665,4.479166666666666,3.8049999999999997,4.352499999999999,3.7581169763313125
4743,HASHTAG FITNESS,HASHTAG FITNESS Leather Combo-Wb Home Gym Kit (30 Kg),3.0,4.266666666666667,3.6999999999999997,3.35,3.102886665440537
4744,HC COLLECTIONS,Bufferman Silver Metal Guitar Capo,2.6,4.4,4.0,4.4,3.5445048310665612
4745,HC COLLECTIONS,SG Musical Bamboo Flute - G Scale,2.782051282051282,3.8307692307692305,3.3576923076923078,3.5237179487179486,2.7903296215611615
4746,HCL INFOSYSTEMS LTD,"Kaspersky Anti-Virus Latest Version - 1 Device, 1 Year (CD)",0.3333333333333333,3.9,3.9,3.9,2.364246675422607
4747,HCSLite,"DFS 5 In 1 Multipurpose Antenna Pen With Torch, Laser, Pointer, Magnet, And Pen - A Perfect Corporate Gift (Gift Box) (Cells Included)",2.2037037037037037,3.9203703703703705,3.7388888888888903,3.6601851851851865,2.8260879986042475
4748,HDR INNOVATION,"Borosil Klip N Store Microwavable Containers with Lunch Bag, 320ml, Set of 3, Clear",1.7142857142857142,4.228571428571429,4.0,2.857142857142857,2.5816551449625695
4749,HDR INNOVATION,Pigeon 12283 750-Watt Sandwich Toaster (White),3.4,4.53,3.98,3.690000000000001,3.5759454099255303
4750,HDR INNOVATION,"Pigeon Handy Chopper, Triple Blade, Green Colour With Pull Cord Technology (Set Of 3 Pcs.)",4.285714285714286,4.714285714285714,4.057142857142857,4.171428571428571,4.156507875320026
4751,HDR INNOVATION,"Pigeon by Stovekraft Triple Blade with Pull Cord Technology (Green, Small) - Set of 2 Pcs",4.5,4.58,3.35,3.925,3.831529341033926
