,Product,Price,Count,FeedBack_Rating,Courier_Rating,Product_Rating,Packaging_Rating,ALL OVER
0,LG 80 cm (32 Inches) HD Ready LED Smart TV 32LK616BPTB (Grey) (2018 model),BEST HOME RETAIL,Popular Electronics Mumbai,BEST HOME RETAIL,Popular Electronics Mumbai,Cloudtail India,Cloudtail India,Cloudtail India
0,"Noise Shots Sport Truly Wireless Bluetooth Earphones with Charging Case, Compatible with Android & iOS(Black)",PINNACLE ELECTRONICS,PINNACLE ELECTRONICS,PINNACLE ELECTRONICS,PINNACLE ELECTRONICS,PINNACLE ELECTRONICS,PINNACLE ELECTRONICS,Meera-Enterprises
0,boAt Rockerz 255 Sports Bluetooth Wireless Earphone with Immersive Stereo Sound and Hands Free Mic (Raging Red),Appario Retail Private Ltd,ZIP ZUP,Appario Retail Private Ltd,Appario Retail Private Ltd,Appario Retail Private Ltd,Appario Retail Private Ltd,Appario Retail Private Ltd
0,JBL GO Portable Wireless Bluetooth Speaker with Mic (Black),Rama's Shop Packers,A2Z COLLECTIONS,TechCommerce,TechCommerce,TechCommerce,TechCommerce,TechCommerce
0,Sony Extra Bass SRS-XB10 Portable Splash-proof Wireless Speakers with Bluetooth and NFC (Blue),best_buyaxz,best_buyaxz,best_buyaxz,best_buyaxz,best_buyaxz,best_buyaxz,best_buyaxz
0,boAt Stone 260 Portable Bluetooth Speakers (Charcoal Black),Techretailer,THENIRVANASHOPS,best_buyaxz,best_buyaxz,KIDA Retail Private Ltd,best_buyaxz,THENIRVANASHOPS
0,"Intern INT-38C Acoustic Guitar Kit, Black",Appario Retail Private Ltd,Appario Retail Private Ltd,Appario Retail Private Ltd,Appario Retail Private Ltd,Appario Retail Private Ltd,Appario Retail Private Ltd,Appario Retail Private Ltd
0,Ontel Portable Air Conditioner with Built-In LED Mood Light (White),MyKart99,MyKart99,MyKart99,MyKart99,MyKart99,MyKart99,MyKart99
0,Usha Crisp Air 200mm Exhaust Fan (Pearl White),Vijay Enterprises JP,Cloudtail India,Cloudtail India,Cloudtail India,KRISHNA ELECTRICALS & HARDWARES,Cloudtail India,Cloudtail India
0,Yamaha PSRF51 61-Keys Portable Keyboard,Ratilal Jivanlal Mistri,LOVEMUSIC,Meera-Enterprises,Meera-Enterprises,Ratilal Jivanlal Mistri,Meera-Enterprises,Meera-Enterprises
